1: credit：WindSeedClientNotify#7094
2: credit：umaru#6658
3: credit：Sakura616#0807
4: credit：庫卡🅺🅾🅺🅰#8595
70290541: 一大片湖{跟调水位差不多}
70710736: 一块石头
70290044: 天空岛大钉子
70290034: 天空钉碎片
70290035: 天空钉碎片
70290036: 天空钉碎片
70290037: 天空钉碎片
70290038: 天空钉碎片
70290039: 天空钉碎片{较大}
70290040: 天空钉碎片
70290041: 天空钉顶部碎块
70290042: 天空钉碎片
70290043: 天空钉碎片
70800216: 层岩活动的一个点 小地图显示
70900203: 任务标点{这东西能测距}
70300057: 任务标点
70900201: 任务标点
70110002: 未解锁的传送锚点
70370273: 浪船锚点
70110003: 传送洞口
77215022: 尘歌壶的传送点
70500004: 口袋锚点
70120009: 雷神副本传送门
70120008: 深镜螺旋入口
70120001: 未开启的副本
70120002: 未开启的副本(埋地里)
70710704: 深渊传送门
70710128: 仙人洞府门
70710749: 某种传送门 类似那个洞口
70710764: 2.7活动 魈开的门
70710765: 魈的幻影
44000105: 一颗风元素光球{小地图会显示}
70350317: 鹤观羽毛{小地图显示}
70800028: 观景点
70710383: 若陀龙王封印
70710743: 无法互动的浪船{一锤就炸}
71700390: 非常小的一艘船{无法互动}
70380240: 金币
70380224: 船的引擎？{Boat_Engine}
70350258: 给浪船加速的
70350458: 浪船比赛开始
70300204: 2.8活动浪船比赛开始前那条指引方向的线
50020010: 新手钓竿
50020011: 蒙德钓竿
50020012: 璃月钓竿
50020013: 稻妻钓竿
50020014: 长绳系月{活动钓竿}
50020015: 须弥钓竿
70800040: 月中王国活动{钓鱼池特效}
70350292: 雷灵
70710010: 仙灵
70310190: 草仙灵
70350090: 雪山供暖仙灵
70720215: 雪山仙灵座
44000258: 雪山仙灵座{有仙灵}
70720217: 层岩仙灵
70720218: 层岩仙灵座
70710006: 普通仙灵座
70310460: 须弥仙灵座
90000003: 派蒙跟随模式
70500015: 跟随仙灵{Pink}
70500018: 跟随仙灵{Red}
70500019: 跟随仙灵{Blue}
44000209: 深赤之石{会跟随}
70950005: 光角{跟随}
44000208: 雪山仙灵{跟随}
44000207: 木桶{跟随}
44000206: 暗灯{跟随}
44000205: 鬼火{跟随}
44000204: 一捆稻草{跟随}
44000203: 正方形木箱{跟随}
44000202: 被藤蔓缠绕的立木{跟随}
44000201: 红衣稻草人{跟随}
44000200: 蓝衣稻草人{跟随}
41055007: 五郎大招的小狗{过会会消失}
70710232: 掩埋点{拾取图标}
70710296: 播撒点{放大镜}
70710540: 翻找点
70710541: 翻找点
70710545: 整理点
70710412: 挖掘点
70710546: 扶起
70710547: 扶起
70710009: 播撒点
71700522: 检查点
